"url","name","topics","skills","type","description"
"https://www.edx.org/micromasters/ucsandiegox-algorithms-and-data-structures","Algorithms and Data Structures MicroMastersÂ® Program | edX","['Computer Science Courses', ""UCSanDiegoX's Algorithms and Data Structures""]","[None, None, None, None, None, None, None, None, None, None]","MicroMasters","Understand essential algorithmic techniques and apply them to solve algorithmic problems\nImplement programs that work in less than one second even on massive datasets\nTest and debug your code even without knowing the input on which it fails\nFormulate real life computational problems as rigorous algorithmic problems\nProve correctness of an algorithm and analyze its running time\n"
"https://www.edx.org/micromasters/gtx-analytics-essential-tools-and-methods","Analytics: Essential Tools and Methods MicroMastersÂ® Program | edX","['Computer Science Courses', ""GTx's Analytics: Essential Tools and Methods""]","[None, None, None, None, None, None, None, None, None, None]","MicroMasters","Use essential analytics tools like R, Python, SQL, and more.\nUnderstand fundamental models and methods of analytics, and how and when to apply them.\nLearn to build a data analysis pipeline, from collection and storage through analysis and interactive visualization.\nApply your new analytics skills in a business context to maximize your impact.\n"
"https://www.edx.org/micromasters/adelaidex-big-data","Big Data MicroMastersÂ® Program | edX","['Computer Science Courses', ""AdelaideX's Big Data""]","[None, None, None, None, None, None, None, None, None, None]","MicroMasters","How to design algorithms\nUnderstand fundamental programming concepts including data abstraction, storage and structures\nUnderstand computational thinking which includes decomposition, pattern recognition and abstraction\nData-driven problem and algorithm design for big data\nInterpretation of data representation and analysis\nUnderstand key mathematical concepts, including dimension reduction and Bayesian models\nHow to use analytical tools such as R and Java\n"
"https://www.edx.org/micromasters/hkustx-big-data-technology","Big Data Technology MicroMastersÂ® Program | edX","['Computer Science Courses', ""HKUSTx's Big Data Technology""]","[None, None, None, None, None, None, None, None, None, None]","MicroMasters","Identify, explain, and use Big Data infrastructure.\nSolve Big Data integration and storge problems.\nPerform various data analytics tasks using Big Data management and computing techniques.\nInvestigate existing problems on Big Data and conduct original Big Data research.\n"
"https://www.edx.org/micromasters/wisconsinx-business-analytics","Business Analytics MicroMastersÂ® Program | edX","['Data Science Courses', ""WisconsinX's Business Analytics""]","[None, None, None, None, None]","MicroMasters","Learn Python, SQL, Tableau, AWS, and other top tools.\nLeverage expertise in data management software and statistical programming.\nDeliver insights and recommendations for organizations using cutting-edge descriptive, predictive, and prescriptive analytics techniques.\n"
"https://www.edx.org/micromasters/wageningenx-business-and-operations-for-a-circular-bio-economy","Business and Operations for a Circular Bio-Economy MicroMastersÂ® Program | edX","['Energy & Earth Sciences Courses', ""WageningenX's Business and Operations for a Circular Bio-Economy"", 'Energy & Earth Sciences', 'Business and Operations for a Circular Bio-Economy']","[]","MicroMasters","Understand and evaluate strategic, technological, and operational aspects of running a biobased business\nUnderstand the basics of biobased materials and their conversion to useful products and services\nIdentify factors that affect biobased investments and innovations\nCreate business strategies in a biobased economy\nDesign and evaluate biobased supply chains using quantitative methods\n"
"https://www.edx.org/micromasters/uqx-business-leadership","Business Leadership MicroMastersÂ® Program | edX","['Communication Courses', ""UQx's Business Leadership"", 'Communication', 'Business Leadership']","[]","MicroMasters","Understand the strengths and weaknesses of various leadership styles, and gain insight into your own leader tendencies.\nImprove your ability to lead complex modern organisations by developing your decision-making skills.\nBetter engage your people, and develop more collaborative teams.\nNavigate the broader social issues and political pressures impacting your business.\nLead more effective change initiatives in your organization\n"
"https://www.edx.org/micromasters/iimbx-business-management","Business Management MicroMastersÂ® Program | edX","['Business & Management Courses', ""IIMBx's Business Management"", 'Business & Management', 'Business Management']","[]","MicroMasters","An overview of business organizations and the role accounting plays in managing them.\nUnderstand the role of operations management in a firm and develop the ability to structure and solve operations related problems.\nAcquire a deeper understanding of the different aspects of people management.\nAn introduction to the systematic framework of marketing management and different approaches for marketing goods and services.\nMaster concepts and tools that are useful to managers for making financial decisions.\nUnderstand the analytical approaches underlying strategy and competitive advantage.\n"
"https://www.edx.org/micromasters/doanex-certified-lifestyle-medicine-executive","Certified Lifestyle Medicine Executive MicroMastersÂ® Program | edX","['Business & Management Courses', ""DoaneX's Certified Lifestyle Medicine Executive"", 'Business & Management', 'Certified Lifestyle Medicine Executive']","[]","MicroMasters","Assess how to lead healthcare organizations in a complex and changing system.\nDevelop in others the knowledge and skills needed to devise programs to prevent and manage chronic disease using population based healthcare delivery interventions that engage the individual and the community.\nEvaluate the value of new healthcare delivery systems and interventions on the basis of quality, safety, efficiency and cost effectiveness using accumulated data.\nEvaluate health policy as it applies to industry economics, needs demands and quality of care.\nApply advocacy skills including quality of care, patients-rights, cultural competency and preventative care.\nDemonstrate an understanding of healthcare system providers, financing, consumerism, past and future trends and regulatory and legal framework.\nApply leadership frameworks, skills and functions of management in planning, organizing leadership and systems control.\n"
"https://www.edx.org/micromasters/wageningenx-chemistry-and-technology-for-sustainability","Chemistry and Technology for Sustainability MicroMastersÂ® Program | edX","['Chemistry Courses', ""WageningenX's Chemistry and Technology for Sustainability"", 'Chemistry', 'Chemistry and Technology for Sustainability']","[]","MicroMasters","Understand the challenges of switching from a fossil source-based economy to a biobased economy.\nUnderstand how to identify suitable raw materials and create valuable new products.\nLearn how to refine biomass without damaging its valuable components.\nPerform a functional analysis of potential methods that can be used for refining a resource.\nLearn how to efficiently convert biobased feedstocks into desired products.\nEvaluate technological, ethical, societal and economic consequences in the production of biobased products.\n"
