"url","name","topics","skills","type","description"
"https://www.edx.org/xseries/mitx-18.01x-single-variable-calculus","18.01x Single Variable Calculus XSeries Program | edX","['Math Courses', ""MITx's 18.01x Single Variable Calculus"", 'Math', '18.01x Single Variable Calculus']","[]","XSeries","Various ways to interpret the derivative and integral of a function and how to compute these quantities\nHow to use linear and quadratic approximations of functions to simplify computations and gain insight into the system behavior\nApplications of the derivative and integral such as in optimizing the cost of production or computing the stress on a construction beam\nThe calculus of parameterized curves and polar coordinates\nHow to approximate complicated functions by a series of simpler functions\n"
"https://www.edx.org/xseries/mitx-18.03x-differential-equations","18.03x Differential Equations XSeries Program | edX","['Math Courses', ""MITx's 18.03x Differential Equations"", 'Math', '18.03x Differential Equations']","[]","XSeries","Use differential equations to model real-world phenomena\nHow to solve linear differential equations as well as how to use matrix methods to solve systems of differential equations\nHow to use graphical methods to understand the qualitative behavior of linear and nonlinear systems\nFormulate and solve eigenvalue and eigenvector problems\nHow to solve ODEs and separable PDEs using Fourier series inputs and boundary conditions\n"
"https://www.edx.org/xseries/astrophysics","Astrophysics XSeries Program | edX","['Physics Courses', ""ANUx's Astrophysics"", 'Physics', 'Astrophysics']","[]","XSeries","An understanding of the biggest unsolved mysteries in astrophysics and how researchers are attempting to answer them\nMethods used to find and study exoplanets\nHow scientists tackle challenging problems\nAbout white dwarfs, novae, supernovae, neutro stars and black holes and how quantum mechanics and relativity help explain these objects\nHow astrophysicists investigate the origin, nature and fate of our universe\n"
"https://www.edx.org/xseries/aws-developer-series","AWS Developer Series XSeries Program | edX","['Computer Science Courses', ""AWS's AWS Developer Series""]","[None, None, None, None, None, None, None, None, None, None]","XSeries","How to use your existing developer skills to create AWS Cloud-based applications using AWS SDKs and the Python programming language\nHow to create scalable, durable, and highly available AWS Cloud-based applications\nHow to use AWS compute, storage, messaging, development, deployment, and security services in development, staging, and production environments\nHow to leverage DevOps and continuous deployment tools in AWS\nHow to optimize your applications through the use of containers, serverless technologies, caching and content distribution\n"
"https://www.edx.org/xseries/bases-matematicas-para-estudiar","Bases matemÃ¡ticas para estudiar ingenierÃ­a XSeries Program | edX","['Math Courses', ""UPValenciaX's Bases matemÃ¡ticas para estudiar ingenierÃ\xada"", 'Math', 'Bases matemÃ¡ticas para estudiar ingenierÃ\xada']","[]","XSeries","A trabajar con conjuntos numÃ©ricos\nA trabajar con nÃºmeros complejos\nA resolver sistemas de ecuaciones\nA trabajar con matrices\nLos mÃ©todos de derivaciÃ³n\nLos mÃ©todos de cÃ¡lculo integral\n"
"https://www.edx.org/xseries/business-principles-entrepreneurial-thought","Business Principles and Entrepreneurial Thought XSeries Program | edX","['Business & Management Courses', ""BabsonX's Business Principles and Entrepreneurial Thought"", 'Business & Management', 'Business Principles and Entrepreneurial Thought']","[]","XSeries","Core business skills in financial accounting, statistics, marketing, finance and strategy\nHow entrepreneurial thinking can be applied to any business environment\nAn understanding of entrepreneurial thought and action\n"
"https://www.edx.org/xseries/hkpolyux-chinese-culture-tradition-transformation-and-interaction","Chinese Culture: Tradition, Transformation and Interaction XSeries Program | edX","['Humanities Courses', ""HKPolyUx's Chinese Culture: Tradition, Transformation and Interaction"", 'Humanities', 'Chinese Culture: Tradition, Transformation and Interaction']","[]","XSeries","To master the foundational knowledge of traditional Chinese culture\nTo apply the insights of Chinese philosophy, religion and strategic thinking\nTo foster skills in appreciating Chinese paintings, operas and literature\nTo understand the history of Chinaâs cultural exchanges with other countries and regions\nTo connect the meanings of different Chinese cultural practices in a holistic manner\n"
"https://www.edx.org/xseries/mitx-circuits-and-electronics","Circuits and Electronics XSeries Program | edX","['Electronics Courses', ""MITx's Circuits and Electronics"", 'Electronics', 'Circuits and Electronics']","[]","XSeries","How to design and analyze circuits using both intuition and mathematical analysis\nHow to construct simple digital circuits and improve their speed\nHow to construct and analyze filters and their frequency response using capacitors and inductors\nDesign circuits applications using MOS transistors and operational amplifiers\nHow to measure circuit variables using tools such as virtual oscilloscopes, virtual multimeters, virtual frequency analyzers, and virtual signal generators\nCompare the measurements of the circuit variables with the behavior predicted by mathematical models and explain the discrepancies\n"
"https://www.edx.org/xseries/harvardx-classical-works","Classical Works XSeries Program | edX","['Humanities Courses', ""HarvardX's Classical Works"", 'Humanities', 'Classical Works']","[]","XSeries","Gain an appreciation and understanding for the typical characteristics of Italian opera, classical music, and performance artâincluding instruments used and types of singing.\nUnderstand the revolutionary relationships created between music, drama, and storytelling in opera.\nBuild on your learning and explore how performances have changed over time.\nCompare the social and cultural influences of each work.\nLearn the technologies and innovations behind opera performances, choir, instruments, and stage structure.\nFollow the composition, legacy, and significance through time and the relevance today.\n"
"https://www.edx.org/xseries/mitx-computational-thinking-using-python","Computational Thinking using Python XSeries Program | edX","['Computer Science Courses', ""MITx's Computational Thinking using Python""]","[None, None, None, None, None, None, None, None, None, None]","XSeries","Programming\nData structures\nComputational thinking\nData science\nAlgorithms\n"
"https://www.edx.org/xseries/harvardx-cs50-ap-computer-science-principles","CS50's APÂ® Computer Science Principles XSeries Program | edX","['Computer Science Courses', ""HarvardX's CS50's APÂ® Computer Science Principles""]","[None, None, None, None, None, None, None, None, None, None]","XSeries","A broad and robust understanding of computer science and programming\nHow to think algorithmically and solve programming problems efficiently\nConcepts like abstraction, algorithms, data structures, encapsulation, resource management, security, software engineering, and web development\nFamiliarity in a number of languages, including C, Python, and JavaScript plus SQL, CSS, and HTML\nHow to engage with a vibrant community of like-minded learners from all levels of experience\nHow to develop and present a final programming project to your peers\n"
"https://www.edx.org/xseries/aws-devops-on-aws","DevOps on AWS XSeries Program | edX","['Computer Science Courses', ""AWS's DevOps on AWS""]","[None, None, None, None, None, None, None, None, None, None]","XSeries","Implement DevOps culture and practices in the AWS Cloud.\nAdopt and enforce Continuous Integration and Continuous Delivery best practices on AWS.\nSetup AWS CodeDeploy to write, run, and debug your code.\nExplore deployment strategies for serverless applications.\nMonitor a code pipeline using Amazon EventBridge and AWS Config.\n"
"https://www.edx.org/xseries/urosariox-diseno-de-prototipos-digitales-para-proyectos-sociales","DiseÃ±o de prototipos digitales para proyectos sociales XSeries Program | edX","['Design Courses', ""URosarioX's DiseÃ±o de prototipos digitales para proyectos sociales"", 'Design', 'DiseÃ±o de prototipos digitales para proyectos sociales']","[]","XSeries","Establecer una ruta de prototipado para consolidar tus estrategias con enfoque social.\nAplicar tÃ©cnicas basadas en ProtothinkingÂ®ï¸ para definir, empatizar, explorar, validar y levar tus ideas a la acciÃ³n.\nComprender las tecnologÃ­as de punta en el contexto de la revoluciÃ³n 4.0 e identificar la gestiÃ³n de proyectos tecnolÃ³gicos.\nIdentificar el uso enfocado de la plataforma Glide para el desarrollo de aplicaciones celulares, Build, la tarjeta de desarrollo Photon, y Google Sheets como base de datos bÃ¡sica para desarrollar prototipos funcionales en IoT.\nIntegrar las diferentes plataformas para la implementaciÃ³n de una soluciÃ³n integral IoT.\n"
"https://www.edx.org/xseries/michiganx-django-for-everybody","Django for Everybody XSeries Program | edX","['Computer Science Courses', ""MichiganX's Django for Everybody""]","[None, None, None, None, None, None, None, None, None, None]","XSeries","Django (Web Framework)\nHTML\nCSS (Cascading Style Sheets)\nJavaScript\nSQL\n"
"https://www.edx.org/xseries/food-security-sustainability","Food Security and Sustainability XSeries Program | edX","['Energy & Earth Sciences Courses', ""WageningenX's Food Security and Sustainability"", 'Energy & Earth Sciences', 'Food Security and Sustainability']","[]","XSeries","Understand that food security depends on food availability, food access, food utilization and stability\nHow we can produce enough food for everyone\nHow sustainable different food production systems are\nHow to assure access to sufficient, nutritious and safe food for everyone\nAbout actors and activities to achieve food security at international, national, local, household, and individual level\n"
"https://www.edx.org/xseries/curtinx-from-digital-technologies-to-social-media","From Digital Technologies to Social Media XSeries Program | edX","['Communication Courses', ""CurtinX's From Digital Technologies to Social Media"", 'Communication', 'From Digital Technologies to Social Media']","[]","XSeries","Map significant milestones in the emergence of social media\nIdentify how different users are impacted by digital in/accessibility\nExtrapolate current social trends online and map possible directions in social media\nUnderstand how people interpret robots and bots as communicating, social, even emotional, others\n"
